Name,Address,Rating,Number of Ratings,Latitude,Longitude,station_location
St. Lawrence Restaurant,"269 Powell St, Vancouver, BC V6A 1G3, Canada",4.7,1011,49.2833146,-123.0979889,"49.283315, -123.097989"
The Acorn Restaurant,"3995 Main St, Vancouver, BC V5V 3P3, Canada",4.5,1582,49.24959,-123.1012547,"49.249590, -123.101255"
JOEY Burrard,"820 Burrard St, Vancouver, BC V6Z 1X9, Canada",4.3,2765,49.28259019999999,-123.1231747,"49.282590, -123.123175"
Lavidas Restaurant,"1961 W 4th Ave, Vancouver, BC V6J 1M7, Canada",4.4,192,49.2682042,-123.1494171,"49.268204, -123.149417"
Boulevard Kitchen & Oyster Bar,"845 Burrard St, Vancouver, BC V6Z 2K6, Canada",4.4,1196,49.2830629,-123.123901,"49.283063, -123.123901"
The Sandbar Seafood Restaurant,"1535 Johnston Street, Creekhouse #102, 1535 Johnston St #35, Vancouver, BC V6H 3R9, Canada",4.4,3806,49.2715215,-123.1341479,"49.271521, -123.134148"
ARC RESTAURANT,"900 Canada Pl, Vancouver, BC V6C 3L5, Canada",4.4,1207,49.2871637,-123.1138361,"49.287164, -123.113836"
B House Restaurant,"2270 Commercial Dr, Vancouver, BC V5N 4B5, Canada",4.7,395,49.2644549,-123.0695255,"49.264455, -123.069525"
Bacchus Restaurant & Lounge,"845 Hornby St, Vancouver, BC V6Z 1V1, Canada",4.5,835,49.282297,-123.1225563,"49.282297, -123.122556"
Notch8 Restaurant & Bar,"900 W Georgia St, Vancouver, BC V6C 2W6, Canada",4.0,971,49.2838005,-123.1205637,"49.283800, -123.120564"
Farmer's Apprentice Restaurant,"1535 W 6th Ave, Vancouver, BC V6J 1R1, Canada",4.3,329,49.2663397,-123.1396572,"49.266340, -123.139657"
Cazba Restaurant,"1103 Davie St, Vancouver, BC V6E 1N2, Canada",3.9,1766,49.28066800000001,-123.1310398,"49.280668, -123.131040"
per se Social Corner,"891 Homer St, Vancouver, BC V6B 2W2, Canada",4.3,2350,49.2787253,-123.118532,"49.278725, -123.118532"
Hy's Steakhouse & Cocktail Bar,"637 Hornby St, Vancouver, BC V6C 2G3, Canada",4.5,1894,49.2845794,-123.1191877,"49.284579, -123.119188"
Jules Bar à Vin,"216 Abbott St, Vancouver, BC V6B 2K8, Canada",4.4,691,49.28343539999999,-123.1063868,"49.283435, -123.106387"
Water St. Café,"300 Water St, Vancouver, BC V6B 1B6, Canada",4.2,1455,49.2841111,-123.1091139,"49.284111, -123.109114"
Showcase Restaurant & Bar,"1122 W Hastings St, Vancouver, BC V6E 4J6, Canada",4.2,317,49.2878584,-123.1203357,"49.287858, -123.120336"
Gringo Gastown,"27 Blood Alley Square, Vancouver, BC V6B 0C4, Canada",4.5,1825,49.2832,-123.1053611,"49.283200, -123.105361"
Published on Main,"3593 Main St, Vancouver, BC V5V 3N4, Canada",4.5,883,49.25281769999999,-123.1011575,"49.252818, -123.101157"
C|PRIME Modern Italian Steak and Wine,"1015 Burrard St, Vancouver, BC V6Z 1Y5, Canada",4.4,477,49.2808932,-123.1272281,"49.280893, -123.127228"
acquafarina,"425 W Georgia St, Vancouver, BC V6B 5A1, Canada",4.4,393,49.28117959999999,-123.1153959,"49.281180, -123.115396"
