Venue Name,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source,Distance
Obanhmi,4.4,62,Yaletown-Roundhouse Station,49.2739094,-123.1227989,ChIJObd2OjlzhlQRiNQ5u2SsGIA,Google,93.55302513625172
Sushi TonTon,4.3,624,King Edward Station @ Platform 1,49.2498517,-123.1150166,ChIJDxxK9V9zhlQRKohrRXdNE-w,Google,95.85829241217493
OutTakes Backstage Bistro,3.8,16,Marine Drive Station,49.2098053,-123.1157048,ChIJyeuOjfZ0hlQR12QUl0ajRFk,Google,96.71716869732339
Kumare Express,3.8,63,Joyce–Collingwood,49.237739,-123.0326836,ChIJgU0ndpR2hlQRnROSZ_q1ops,Google,97.42079093181181
PappaRoti,4.5,207,Stadium-Chinatown,49.2800689,-123.1086346,ChIJQSQvv3txhlQRWKVZ9SMI-0M,Google,97.91983134660967
KAIBA BAR & GRILL INC,0.0,0,Waterfront Station,49.2852022,-123.1129049,ChIJN6XdPORxhlQRDKz-qFv8iSo,Google,97.9725740395303
Thai Box On Truck,4.7,16,Joyce–Collingwood,49.2376298,-123.03102,ChIJRVgtnZN2hlQRAIsn7LgPKWM,Google,98.50031422781657
Cactus Club Cafe Bentall 5,4.3,2577,Burrard,49.285532,-123.1188185,ChIJLwP4IIJxhlQRN41rdASKST0,Google,100.51162086465281
Bates Restaurants Ltd,0.0,0,Commercial-Broadway Station,49.2617465,-123.0696091,ChIJE5Oqxk5xhlQRqNwaMRGwmqU,Google,101.1434132141758
Robba da Matti (Yaletown),4.2,946,Yaletown-Roundhouse Station,49.2753626,-123.1212277,ChIJXeMk-NZzhlQRLt5fF5PwNiY,Google,105.35344379309214
Chipotle Mexican Grill,4.0,946,Broadway-City Hall Station,49.26307389999999,-123.1159946,ChIJYR_Rbt1zhlQRZOrzKuGXecA,Google,105.85024922868918
Hon's Wonton House - Broadway Station,3.9,154,Commercial-Broadway Station,49.2624958,-123.0707055,ChIJu9A8CcJxhlQRVEvt0cy4TUM,Google,107.5325444834108
Pizzeria Ludica,4.4,952,Stadium-Chinatown,49.2800991,-123.1084968,ChIJewa9uHtxhlQRnYSaSWWfdKM,Google,108.30674207614615
蜀莊 Grand Chinese Yaletown Restaurant (Order from our Website & Save More !),4.2,298,Yaletown-Roundhouse Station,49.2746929,-123.123435,ChIJM3OO5mdzhlQRwLhy5GSk-DU,Google,109.8440436378947
My Toan,3.7,25,Waterfront Station,49.2846966,-123.1119349,ChIJHfhJIFN3hlQRSggFFifaYx8,Google,110.001411849713
Harbour Spoon,4.4,110,Waterfront Station,49.2846966,-123.1119349,ChIJBxmyyfdxhlQRjNpqKe1wZlw,Google,110.001411849713
Thai Express Restaurant Vancouver,2.5,28,Waterfront Station,49.284696,-123.1119341,ChIJTzd5Z3hxhlQRaDtQ7ez6khc,Google,110.06144336447502
Globe@YVR,4.0,220,Yvr–Airport,49.19505119999999,-123.1774388,ChIJBTX_rTULhlQRPE4_RMc32ic,Google,111.57640054142779
Hungry Guys Kitchen,4.8,14,Granville,49.2842797,-123.1158508,ChIJv-DKCeBxhlQRW0kc0CVn9XM,Google,111.73614392513444
Bistro Sakana Vancouver,4.3,521,Yaletown-Roundhouse Station,49.2753916,-123.1211292,ChIJq9wc-NZzhlQRVP_vVQAyk8o,Google,111.7647973324177
Peaceful Restaurant,4.0,787,Broadway-City Hall Station,49.26307540000001,-123.1160799,ChIJTV7Wbd1zhlQRNNf29oteTuM,Google,112.03390657633521
Minami,4.5,3037,Yaletown-Roundhouse Station,49.2751989,-123.1207236,ChIJ9xLK-dZzhlQRIghtObN7n-A,Google,114.9118323696993
Thai Express Restaurant Vancouver,3.4,154,Vancouver City Centre,49.283333,-123.117736,ChIJp--ubH9xhlQRdMQC-MmTYAw,Google,115.19359745293163
Hawksworth Restaurant,4.4,1506,Vancouver City Centre,49.2834532,-123.1192387,ChIJSQDA8oZ0hlQR_IFn3VHeS4w,Google,118.46371158273143
Brix and Mortar,4.3,1246,Yaletown-Roundhouse Station,49.2756123,-123.1219105,ChIJl9xLjNZzhlQR7-ndY8Asql8,Google,119.5982093060802
Urban Crave,2.1,43,Yvr–Airport,49.195288,-123.1785255,ChIJocxXs8kLhlQR4QN3ZJkpkPE,Google,121.42267261140438
Kuroi Sushi,4.1,30,Burrard,49.2863681,-123.1190724,ChIJVVWVLYJxhlQRsCIsgOUXwEE,Google,122.28658141108282
Pajo's Yvr Airport,3.8,41,Yvr–Airport,49.1952864,-123.1778697,ChIJ7Z3qGUoLhlQRPKn0sff0VtY,Google,123.37018003166433
Daddy's Kitchen,4.3,305,Commercial-Broadway Station,49.2615324,-123.0696135,ChIJY7OswU5xhlQRhciL6HRmAMI,Google,124.31685697607398
Thai Hang,2.4,78,Yvr–Airport,49.1953273,-123.1783231,ChIJ5WXnYjMLhlQRYm7hx--pUuc,Google,124.44805002455716
Commercial Sushi,4.2,366,Commercial-Broadway Station,49.261623,-123.0700176,ChIJEXuDOG1xhlQRW5nLfmvymJM,Google,124.80826281281644
Top Of Vancouver Revolving Restaurant,4.2,2733,Waterfront Station,49.2845838,-123.1121818,ChIJfe2sYHhxhlQRYY79aUl69vw,Google,125.49824381859926
Bubble Waffle Cafe (Cambie),2.6,45,Marine Drive Station,49.2107578,-123.1165243,ChIJV-dFQG91hlQRdfDOs5dpyrk,Google,126.20406978500561
Rice 'N Spice,4.0,43,Waterfront Station,49.2845623,-123.1121817,ChIJheSDYHhxhlQRRdh59OFQqgA,Google,127.81981458358001
Saigon Xua Vancouver,3.9,140,Yaletown-Roundhouse Station,49.2744337,-123.123706,ChIJs8dj47pzhlQRAsN-T6gsiKg,Google,128.63928944240612
Little Saigon Yaletown,3.9,391,Yaletown-Roundhouse Station,49.2737722,-123.1232712,ChIJp_ZHKtdzhlQRw9xXAEHu3m8,Google,128.68020489765658
Zaatar w Zeit,4.6,834,Waterfront,49.28437599999999,-123.115583,ChIJZV-t8GVxhlQR_e49w10QaFQ,Google,129.77235372284906
Panago Pizza,3.9,91,Yaletown-Roundhouse Station,49.27375139999999,-123.1232728,ChIJudvxKtdzhlQRGvL6jyfnocY,Google,130.30622670326454
Mount Everest Kitchen & Grill,4.7,998,Granville,49.2835226,-123.1143514,ChIJwfjJ0MdxhlQR7n2U3xYI-Jk,Google,131.78465150131115
Cioppino's Mediterranean Grill,4.6,615,Yaletown-Roundhouse Station,49.2757199,-123.1217486,ChIJXd-B9NZzhlQRXZXEHdBn71E,Google,132.2738452344178
The Stock Room,4.3,153,Yaletown-Roundhouse Station,49.2757334,-123.1223227,ChIJ17PG8TJzhlQR4Edd5h5LZps,Google,135.91236461488705
Hundy,4.4,623,Yaletown-Roundhouse Station,49.2757377,-123.122299,ChIJa3ZV1dRzhlQR_GgH_nugctc,Google,136.04075625281493
Glowbal,4.3,3846,Vancouver City Centre,49.28153140000001,-123.1173984,ChIJ184e4X5xhlQREgkeHvFAYwE,Google,136.50039040242362
Fiasco Pizza Company,1.0,1,Yaletown-Roundhouse Station,49.2756172,-123.1210361,ChIJ26LK99ZzhlQReLXlcF3jBRU,Google,136.85365183052397
McDonald's,3.5,644,Broadway-City Hall Station,49.2635405,-123.1162715,ChIJuXRpDd1zhlQR0yATbh-djVA,Google,139.3603383459539
Yolks,4.1,1560,Broadway-City Hall Station,49.2630774,-123.1164679,ChIJ-z29a91zhlQRgI2lflpubNM,Google,140.13548561621988
Subway,3.0,160,Joyce–Collingwood,49.23724259999999,-123.0326314,ChIJ0epZjJN2hlQRpw5lwXeouy0,Google,140.81016742863173
TAKO - Taqueria Korean,4.3,825,Stadium-Chinatown,49.2788899,-123.1082342,ChIJIwA4nntxhlQRBmzcXjGwJRQ,Google,141.90874005621828
Ki Isu Japanese Restaurant,4.3,368,Yaletown-Roundhouse Station,49.27370819999999,-123.1234654,ChIJSUTFKtdzhlQRJkhDS0tv2bw,Google,144.0121183920948
Alouette Bistro,4.2,327,Burrard,49.2853077,-123.1182531,ChIJQ3EWTtpxhlQR8AOWxpM5tBY,Google,144.09543116727875
Sushi Den,4.0,1090,Stadium-Chinatown,49.2794237,-123.1078451,ChIJ68VbpHtxhlQRr5Jty3Sb-Vo,Google,144.9384810234606
Guu with Otokomae,4.2,915,Waterfront Station,49.2847191,-123.1103983,ChIJP0wBP3hxhlQR5bMiXWGm6Zs,Google,145.9966386581061
McDonald's,3.4,4299,Main Street-Science World,49.2718666,-123.1006106,ChIJO1V_sWZxhlQR69RUQ1rHcb0,Google,146.38019969733287
Japanese Bistro Kamome,4.5,288,Joyce–Collingwood,49.2371995,-123.0327017,ChIJp0mGi5N2hlQRuzczZkNzA9A,Google,147.40743665347648
Sushi California,4.2,2032,Broadway-City Hall Station,49.262935,-123.1125047,ChIJ7bBsit1zhlQRtzvtW59ZWjM,Google,147.8976581002025
Samurai Sushi House,3.9,1007,Oakridge-41st Avenue,49.2318904,-123.1159603,ChIJo_2vlHB0hlQR6RN_OGTAvBw,Google,149.17616928520908
Freshbowl,4.4,232,Yaletown-Roundhouse Station,49.2742186,-123.1199149,ChIJEdgLCNdzhlQRi5LkuYIevCo,Google,151.11270177501567
Tacofino Oasis,4.4,489,Burrard,49.2868613,-123.1196335,ChIJi3Q2zoNxhlQRvZpoJv2kebA,Google,151.26625170945917
Tasty Indian Bistro | Yaletown,4.3,2094,Yaletown-Roundhouse Station,49.2742811,-123.1240125,ChIJZTIYBNBzhlQRGKVpjg2ZmPI,Google,153.02919368016603
Freshii,3.1,55,Yvr–Airport,49.1955211,-123.1775609,ChIJ59HrljULhlQRcDHAEpYgqdc,Google,154.83541983706675
Saku Broadway,4.4,857,Broadway-City Hall Station,49.2630923,-123.1166759,ChIJQdEZYpBzhlQRwNpmnXQnBxU,Google,155.3051170784796
Momo Sushi,4.2,1811,Waterfront Station,49.284686,-123.110254,ChIJP0wBP3hxhlQRTAaG6y4I_nQ,Google,155.90789174518545
JOEY Bentall One,4.3,1667,Burrard,49.28647100000001,-123.1185567,ChIJ0T6uN4JxhlQRlqiDjRbDiHA,Google,157.15588328659754
Stock & Supply,4.7,146,Waterfront,49.2841681,-123.1127093,ChIJsfqmXW9xhlQR0zvog-Llg8I,Google,158.32641183606214
Elisa,4.5,1836,Yaletown-Roundhouse Station,49.27596430000001,-123.1214134,ChIJhcHC8TBzhlQRPsVWKk8ZNJQ,Google,163.25106071653985
Kita No Donburi,4.3,885,Waterfront Station,49.284594,-123.113304,ChIJocSPi3hxhlQRWXF8ze-OOZI,Google,164.2015755459077
Yopo Sweet Mandarin,4.0,36,Yaletown-Roundhouse Station,49.2760317,-123.1218906,ChIJVQHei9ZzhlQR7LUiZK3ewuw,Google,166.25288085527802
Aladdin Café,4.0,365,Vancouver City Centre,49.2809908,-123.1189847,ChIJAQBAvH9xhlQRr9iI1i0f_UI,Google,166.5906991891872
Hula Poke Yaletown,3.9,115,Yaletown-Roundhouse Station,49.2755843,-123.1202951,ChIJF61yx_9zhlQR2I-9s4VW3_w,Google,166.74148868382358
Fortune Express,2.7,34,Burrard,49.28660259999999,-123.1185528,ChIJzUjcSYJxhlQRdcQLxWwf-vc,Google,167.2358539869073
The Grill,4.0,1,Waterfront,49.28653550000001,-123.115292,ChIJY0IWYIJxhlQR14Oc8XS_E7M,Google,169.47569985757238
Earls Kitchen + Bar,4.1,2568,Yaletown-Roundhouse Station,49.2757745,-123.1205683,ChIJ84uJWdZzhlQRW_JFwEYZIgY,Google,169.8209278305529
1931 Gallery Bistro,4.0,324,Vancouver City Centre,49.2830077,-123.1208179,ChIJH4ScrwVxhlQRk74FDsvybDE,Google,170.79564969365558
Diva at the Met,4.1,158,Granville,49.28392299999999,-123.1183181,ChIJVTmSWX9xhlQRj3wKEpEEbOU,Google,173.30205109273646
可爱的新疆 Lovely Uyghur (Order from our website & SAVE MORE!),4.3,86,Joyce–Collingwood,49.2395134,-123.0301247,ChIJ-Yy0ms53hlQRfVU8tFxnGKg,Google,173.58431278048613
Pajo's Fish & Chips at YVR Airport,4.0,82,Yvr–Airport,49.1957495,-123.1778705,ChIJzakqDCkLhlQR5FObRjodJMk,Google,173.81392936148384
Tim Hortons,3.6,7,Yvr–Airport,49.1957495,-123.1778705,ChIJUQOQYhALhlQR3OzrJIvmF3w,Google,173.81392936148384
Miku Vancouver,4.5,6213,Waterfront Station,49.2870179,-123.1130107,ChIJlyu4u4NxhlQRkUpN_iFwl8Q,Google,173.86710701929636
Qieu Cafe,3.5,78,Stadium-Chinatown,49.2793436,-123.107433,ChIJKR07pHtxhlQR-2Q45lIzU0s,Google,175.9416677302846
Subway,3.6,240,Main Street-Science World,49.2747643,-123.1003084,ChIJYfoATWRxhlQRX2IkHv_iZA4,Google,177.08164623813897
The Loft at Earls Yaletown,4.9,13,Yaletown-Roundhouse Station,49.2758583,-123.1205682,ChIJQ-XeGelzhlQR6YyOgzXFzG0,Google,177.45995821018428
A&W Canada,3.9,164,Main Street-Science World,49.2737908,-123.0980653,ChIJv_mvUoV0j1QRhJrRxvVgQOI,Google,179.46738142441546
AFTERNOON TEA,3.4,5,Yvr–Airport,49.1949175,-123.1760053,ChIJWxi52dELhlQRbhfYISTiOfo,Google,182.63992924104534
Blue Water Cafe,4.7,2637,Yaletown-Roundhouse Station,49.276155,-123.1211291,ChIJZ04tZ9ZzhlQRDsJZp_cOS4U,Google,189.29549560418437
Sauzzy Thai,3.8,26,Vancouver City Centre,49.2825052,-123.1212386,ChIJu4v9j39xhlQRhhc3m6qj6E0,Google,190.5140743219624
Wendy's,2.9,123,Yvr–Airport,49.19375540000001,-123.1808145,ChIJ1x3MVzQLhlQR3QYoSvOdwLE,Google,191.46067121858195
Frying Pan food truck,4.8,236,Burrard,49.2865291,-123.1180292,ChIJawk2NIJxhlQRM-gFv9acuI8,Google,191.48040712585203
Tokyo In April,4.6,758,Stadium-Chinatown,49.2803961,-123.1074175,ChIJpfo-D8FxhlQRukneHiPAh7o,Google,193.08728860182657
Ekki Sushi,4.8,66,Main Street-Science World,49.2737759,-123.097836,ChIJLRXw-d9xhlQRjcK4-lNjovI,Google,194.35742920264897
Euro Cafe,2.1,23,Yvr–Airport,49.1949414,-123.1807049,ChIJMzpOaDYLhlQR_yp17xyFfFs,Google,194.62226715389036
Kyle's Cafe,4.2,345,Commercial-Broadway Station,49.2609377,-123.0700155,ChIJcei3k05xhlQR4p79ES3nnj8,Google,195.73760615518844
Notch8 Restaurant & Bar,4.0,971,Burrard,49.2838005,-123.1205637,ChIJg_-i0YFxhlQRIF9uO3r3DmM,Google,196.58706583196633
Nightshade,4.4,320,Yaletown-Roundhouse Station,49.2759801,-123.120331,ChIJY5GsAa9zhlQR0SpGxNXeOXI,Google,198.4347971855642
Bonjour Banh Mi,4.7,175,Oakridge-41st Avenue,49.2348627,-123.1158306,ChIJ5xtDLQV1hlQR8pklY7YkgrQ,Google,198.8476154075435
Tsuki Sushi Bar,4.2,654,Stadium-Chinatown,49.28090290000001,-123.1078361,ChIJJ8YrM3pxhlQR3p8xNI44_Q4,Google,200.68132822005583
Cactus Club Cafe Broadway + Ash,4.3,1879,Broadway-City Hall Station,49.26340829999999,-123.1172433,ChIJhz9CFt1zhlQRpJSOgRKv9CA,Google,201.36880206711038
Gotham Steakhouse & Cocktail Bar,4.6,2271,Vancouver City Centre,49.282901,-123.1158845,ChIJVQQVMn9xhlQRfFSHaGDN_EY,Google,203.63312568985594
Tim Hortons,3.6,853,Stadium-Chinatown,49.2809294,-123.1078014,ChIJfe2sYHhxhlQRtW9a0T_FIcg,Google,204.5412687707061
B House Restaurant,4.7,395,Commercial-Broadway Station,49.2644549,-123.0695255,ChIJzZFcYSdxhlQRBEix0Q2qvxg,Google,204.7749105923614
Einstein Wrap House,4.6,207,Stadium-Chinatown,49.2805954,-123.1073809,ChIJ9TZnM3pxhlQRWaIsRG6m3-E,Google,205.9665268839431
Sushi Taku,4.6,795,Joyce–Collingwood,49.2398371,-123.0300193,ChIJj_VEyJR2hlQR3YYnLXC4neE,Google,205.97802824825195
Mr. Pan Pizza,0.0,0,Joyce–Collingwood,49.2398415,-123.0300184,ChIJX_5ut5R2hlQRDLb20IHU_vo,Google,206.40485810917124
Sushi Tendo,3.9,307,Olympic Village Station,49.2646944,-123.1150946,ChIJ8U0e2eZzhlQRZ8ywfuy8q0k,Google,208.73263985630865
Al Porto Ristorante,4.1,868,Waterfront Station,49.2846851,-123.1093157,ChIJM297MXhxhlQRzeNbCU0As9E,Google,209.5899219794074
The Poke Guy,4.6,1068,Waterfront Station,49.2838016,-123.1120496,ChIJoXAI-XhxhlQRsRZg0KF8PpI,Google,209.85107732505517
Fable Diner & Bar,4.0,191,Vancouver City Centre,49.28081479999999,-123.1171994,ChIJuXFBkIFxhlQR9YKRJsK4Z8w,Google,210.59768190993654
Sushi Okeya Kyujiro,4.8,38,Yaletown-Roundhouse Station,49.275804,-123.1197521,ChIJ51q_vUZzhlQRCCFO2VqvuQ4,Google,212.23277942499936
The Wine Bar at Provence Marinaside,4.2,94,Yaletown-Roundhouse Station,49.2733585,-123.1196179,ChIJ3eBabtdzhlQRGlvqoQg7tUQ,Google,213.41835710774052
Provence Marinaside,4.3,1794,Yaletown-Roundhouse Station,49.27333369999999,-123.1196165,ChIJdxpZbtdzhlQRlCpofbKCaEQ,Google,215.20205215623946
