station_name,latitude,longitude,bikes,ebike,station_location
Wylie & 2nd,49.267725,-123.11311,18,0,"49.267725, -123.113110"
29th & Cambie,49.245135,-123.116098,20,2,"49.245135, -123.116098"
Rolston & Granville,49.274232,-123.129998,16,0,"49.274232, -123.129998"
East Blvd & 37th,49.238105,-123.154966,20,1,"49.238105, -123.154966"
28th & Willow,49.246243,-123.124373,20,5,"49.246243, -123.124373"
Ontario & 23rd,49.249722,-123.104991,12,1,"49.249722, -123.104991"
30th & Ontario,49.243375,-123.104978,22,1,"49.243375, -123.104978"
Franklin & Nanaimo,49.282087,-123.056909,20,1,"49.282087, -123.056909"
Lakewood & Triumph,49.283968,-123.061615,16,2,"49.283968, -123.061615"
Wall & Eton,49.287464,-123.060771,18,1,"49.287464, -123.060771"
Lakewood & Oxford,49.285575,-123.061575,18,2,"49.285575, -123.061575"
22nd & Cambie,49.251358,-123.115637,14,0,"49.251358, -123.115637"
King Edward & Cambie,49.249184,-123.116141,18,5,"49.249184, -123.116141"
Heather & 29th,49.245535,-123.120496,22,0,"49.245535, -123.120496"
Cardero & Robson,49.289255,-123.132677,26,2,"49.289255, -123.132677"
Commercial & 20th,49.252656,-123.067965,20,6,"49.252656, -123.067965"
Burrard & 14th,49.259469,-123.145718,18,10,"49.259469, -123.145718"
Hornby & Drake,49.277178,-123.13,24,1,"49.277178, -123.130000"
Cardero & Bayshore,49.291597,-123.129158,20,0,"49.291597, -123.129158"
27th & Main,49.247204,-123.101549,22,5,"49.247204, -123.101549"
Cordova & Granville,49.2856698,-123.1125432,18,2,"49.285670, -123.112543"
22nd & Main,49.25094,-123.101306,14,0,"49.250940, -123.101306"
PNE - Hastings & Windermere,49.280977,-123.035969,40,1,"49.280977, -123.035969"
