,Venue Name,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source,Distance
13,A & W Home Of The Burger Family,1.5,4,Main Street-Science World,49.2732033,-123.1008612,ChIJ6dqOGWRxhlQRrx-4--zk8sU,Google,37.25029207703104
14,A&W Canada,3.8,581,Marine Drive Station,49.209366,-123.11678,ChIJUaeYv_Z0hlQRj_EpoX3KYy8,Google,38.03446259167804
15,Pajo's YVR Inter. Departure Building Level 3,3.8,55,Yvr–Airport,49.194388,-123.1787194,ChIJeZ5ZljULhlQRrUGGuqZ09iU,Google,38.1056694937374
16,Pret A Manger,4.0,27,Marine Drive Station,49.209364,-123.116783,ChIJB4k2Q4x1hlQRLiybXd8gcIQ,Google,38.13336371190987
17,Sushi Maro Japanese Restaurant,4.0,735,Yaletown-Roundhouse Station,49.2749058,-123.1218909,ChIJN4qi39ZzhlQRlzqSDb047TY,Google,41.17360888552009
18,Super Great Pizza,4.3,773,Joyce–Collingwood,49.23833740000001,-123.0323357,ChIJHYr6fJR2hlQRV2V1pZHsMz4,Google,42.14442282586312
19,Pho Extreme Xe Lua,3.5,618,Broadway-City Hall Station,49.2633374,-123.1142824,ChIJddpmg91zhlQRn2cLhqMPhTs,Google,42.184349883534495
20,Subway,3.7,267,Marine Drive Station,49.20987299999999,-123.116526,ChIJt1XIlfZ0hlQRYtNkGawG2Es,Google,42.39451070989959
21,Pret A Manger,4.0,9,Broadway-City Hall Station,49.2633754,-123.1144271,ChIJvwZmUqRzhlQRDOTS_7MndFg,Google,42.82014750015486
22,European sausage,0.0,0,Yaletown-Roundhouse Station,49.274624,-123.1225223,ChIJXa1lbmNzhlQR2mzHyRDjOBo,Google,43.347496686225206
23,Rogue Kitchen & Wetbar,4.1,2259,Waterfront Station,49.2853348,-123.1114376,ChIJIft1c3hxhlQR8Nk5KKui3cM,Google,45.32812480605172
24,A&W Canada,3.9,725,Broadway-City Hall Station,49.2634018,-123.1144239,ChIJgw2RnN1zhlQR76HP_Ryxov8,Google,45.74678740931155
25,MeeT in Yaletown,4.4,1794,Yaletown-Roundhouse Station,49.2749415,-123.1217991,ChIJF6Rk5dZzhlQR8azs1JE8fCk,Google,46.134553428953446
26,Marulilu Café,4.5,787,Broadway-City Hall Station,49.2633339,-123.1141116,ChIJURqm2VhxhlQRH6dgfKE3Svk,Google,48.665113478436034
27,A&W Canada,3.8,656,Waterfront Station,49.2859947,-123.112256,ChIJ-7BJQX9xhlQR-vHYJge7GzM,Google,49.66973520668726
28,Salsa & Agave Mexican Grill,4.3,849,Yaletown-Roundhouse Station,49.2740868,-123.122011,ChIJ0W5RJtdzhlQR65k9gmpLNs8,Google,50.314009379811445
29,Tim Hortons,3.5,559,Marine Drive Station,49.209288,-123.11662,ChIJ-Tde7PZ0hlQRpkUIYsbj4cA,Google,51.464366497080576
30,Neptune Palace Seafood Restaurant (Vancouver),3.7,599,Marine Drive Station,49.21004800000001,-123.116603,ChIJs-JX3rZ1hlQRs_1BTeome-4,Google,51.80996133904984
31,The Flying Pig Yaletown,4.2,2272,Yaletown-Roundhouse Station,49.2750232,-123.121994,ChIJR-oj79ZzhlQRPxQ0DJ-fZRI,Google,54.21641531663467
32,Chambar Restaurant,4.5,3529,Stadium-Chinatown,49.2801271,-123.1099351,ChIJq2tI6HtxhlQRBaKUv59cS9E,Google,54.67267977632412
33,Mosaic Grille & Bar,4.2,200,Burrard,49.2850955,-123.1205419,ChIJ0xgBlYFxhlQRJXKhZLI71wE,Google,56.450804795001005
34,Freshslice Pizza,0.0,0,Oakridge-41st Avenue,49.2332718,-123.1158825,ChIJYdzEE7F1hlQRb8Zdf72rI5s,Google,56.85213982950238
35,Freshslice Pizza,4.5,265,Yaletown-Roundhouse Station,49.2740467,-123.12217,ChIJewgZJNdzhlQRD_KKU1jFZbg,Google,57.00674585841993
36,Subway,3.9,106,Yaletown-Roundhouse Station,49.2740632,-123.1222686,ChIJbffmJtdzhlQRaG6duBX7QVs,Google,57.81965413242207
37,Freshslice Pizza,4.2,564,Joyce–Collingwood,49.2378741,-123.0320064,ChIJlb7JeJR2hlQR5ymQR-AY8kw,Google,58.35856433281192
